rate,avr_air_pressure,avr_wind_spd,avr_temp,avr_water_pressure,rel_humidity,day_precipitation,month_sun,hour_sun,extreme_wind_speed,min_air_pressure,min_temp,max_air_pressure,max_temp,max_wind_speed,day_max_precipitation,power,industrial_add,sales_rate,fin_budget,cpi,pas_turn,im_ex,Residential_investment,ex_factory_index
7.245386193,1014.8,2.942857143,-6.785714286,1.942857143,47,2.142857143,70.85714286,219.6428571,15.07142857,1001.342857,-21.45714286,1026.671429,7.071428571,9.342857143,4.742857143,107.7,15.8,98.8,19.2,102.625,169412.5,9881561,23.8,101.97
7.416267943,1010.728571,3.242857143,0.614285714,3.471428571,53.85714286,6,62.28571429,231.3,17.47142857,994.6,-11.71428571,1021.185714,17.14285714,10.4,12.22857143,124.9,10.9,97.5,23.8,102.975,191413,10540522,31,101.77
7.124629756,1001.314286,3.628571429,10.31428571,6.857142857,53.85714286,6.428571429,57,228.2428571,18.48571429,984.7142857,-4.085714286,1013.914286,24.54285714,11.81428571,48.51428571,118.8,9.9,97.2,22.3,102.79,174394.5,9670141,22.4,101.27
7.190704033,999.9571429,2.642857143,18.34285714,10.47142857,52.85714286,5.571428571,67.14285714,301.5714286,15.31428571,987.4571429,6.971428571,1009.442857,29.98571429,9.728571429,17.4,121.3,8.1,97.2,21.1,102.215,187633.5,9634796,18.8,100.44
5.732513101,995.5571429,2.614285714,21.02857143,18.74285714,76.28571429,14.57142857,42.71428571,191.6428571,15.72857143,985.7857143,11.72857143,1007,30,8.842857143,38.92857143,133.2,9.7,96.6,21.4,101.835,207125,9831785,15.3,99.46
5.285942128,994.0571429,2.5,24.22857143,23.91428571,80.14285714,11.57142857,43.42857143,197.2571429,15.57142857,982.2857143,17.1,1002.771429,31.67142857,9.242857143,63.34285714,125.9,9.8,99.8,19.9,102.04,184732,10153749,13.8,98.42
5.203918888,999.0571429,2.228571429,23.28571429,22.78571429,80.28571429,12,55.57142857,235.0571429,16.35714286,982.1,11.94285714,1007.085714,32.18571429,9.971428571,82.27142857,119.9,8.6,98.1,19.7,102.54,190751.5,9370820,13.7,98.04
4.766461609,1004.314286,2.457142857,18.32857143,15.68571429,75.28571429,8.428571429,58.71428571,217.4428571,15.52857143,994.4714286,7.814285714,1012.771429,30.11428571,9.4,32.87142857,100.5,9.5,96.2,22.8,102.445,191381,8798489,13.5,97.93
4.969241285,1008.285714,2.557142857,10.84285714,8.514285714,64.71428571,6.857142857,69,235.4571429,14.57142857,998.1285714,-2.857142857,1018.042857,23.58571429,8.771428571,25.88571429,106.5,9.6,98.9,21.6,102.775,193120.5,9020740,15.7,98.62
4.367737526,1009.528571,2.742857143,0.814285714,4.442857143,65.71428571,8.142857143,58.71428571,171.5,16.6,988.7428571,-10.52857143,1023.5,13.64285714,10.47142857,25.17142857,117.1,11,97.2,19.8,102.875,160016,10548424,16.8,99.39
3.77534746,1016.214286,2.657142857,-9.828571429,2,61.42857143,6.571428571,59.71428571,170.6,15.01428571,999.1714286,-22.62857143,1029.614286,3.357142857,9.257142857,9.3,129.4,11.8,99.8,17.4,103.265,172790,10420747,16.2,99.72
5.464692483,1017.028571,2.371428571,-10.52857143,2.057142857,65.14285714,4.285714286,57.28571429,170.9142857,14.37142857,1002.785714,-22.84285714,1030.871429,4.4,8.685714286,2.095238095,116.4183333,11.38333333,97.49166667,9.7,102.87,175663.5,10706217,18.67762238,99.77
4.892938497,1015.728571,2.957142857,-6.371428571,2.414285714,58,6.571428571,64.28571429,192.1142857,18.14285714,996.4571429,-20.78571429,1029.628571,7.7,10.97142857,7.214285714,117.0191667,8.525,97.55,7,104.355,178013,8367101,18.5,99.71
5.412300683,1008.171429,3.585714286,0.457142857,3.6,55.14285714,4.285714286,61.42857143,229.4,21,985.9,-10.97142857,1024.342857,14.05714286,13.1,12.62857143,120.59,10.5,97.4,10.4,103.08,196959.5,10493774,20.2,99.48
5.455580866,1003.1,3.371428571,6.928571429,5.385714286,55.42857143,9.428571429,62.57142857,250.7428571,18.4,991.1571429,-3.257142857,1014.128571,21.6,11.31428571,18.55714286,116.77,10.8,97.3,6.9,103.015,178172,10178549,23.6,98.37
5.407744875,998.9857143,3.357142857,18,11.41428571,58.57142857,5.571428571,61.71428571,277.7714286,19.38571429,982.8714286,5.771428571,1009.957143,30.92857143,11.6,12.67142857,115.56,10.4,97.9,5.2,102.63,199076.5,10621125,30,97.9
5.109339408,996.9,2.842857143,21.65714286,17.7,70.28571429,10.14285714,46.57142857,209.2714286,13.04285714,985.3428571,12.2,1006.6,31.81428571,8.828571429,24.44285714,117.5,9.8,98,5.7,102.39,217235.5,9004135,21.4,98.01
